2020-08-09  18:02,1292431640875040768,The previous rule of renewal within 5 years should prevail as due to current rule a lot of people are gathered at o… https://t.co/9PDoibsTia,2020-08-09 12:04:50,,,,"Pune, India"
2020-08-09  18:02,1292431630028562432,RT @RamShindespeaks: The concept of a self-reliant India without securing the old age sticks of Corona Warriors is meaningless! OPS has to…,2020-08-09 12:04:47,,,,
2020-08-09  18:02,1292431573673889792,On 5th Corona went on vacation? https://t.co/JCh526M4I0,2020-08-09 12:04:34,,,,Mumbai
2020-08-09  18:02,1292431290294087683,"RT @AnuragJs12: #PostponeJEE_NEETSept @DrRPNishank Do you think 🤔 we are testing kits for corona that it affect or not on students , such a…",2020-08-09 12:03:26,,,,
2020-08-09  18:02,1292430929621729282,"RT @Kangana_Ra: Maharashtra has highest number of Corona cases, Mumbai is flooded due to heavy rain &amp; people are dying.

But Uddhav Thacker…",2020-08-09 12:02:00,,,,"Delhi, India"
2020-08-09  18:02,1292430895744352256,"@atropized_m2 Pelo choot choot pe choot

Bas ek celebrity ki padi
Hai

Hajaro log corona me mar rahe but who cares… https://t.co/FrsJ9kEF8S",2020-08-09 12:01:52,,,,Pune
2020-08-09  18:02,1292430873770356738,"RT @Kangana_Ra: Maharashtra has highest number of Corona cases, Mumbai is flooded due to heavy rain &amp; people are dying.

But Uddhav Thacker…",2020-08-09 12:01:47,,,,
2020-08-09  18:02,1292430585365962752,"RT @Kangana_Ra: Maharashtra has highest number of Corona cases, Mumbai is flooded due to heavy rain &amp; people are dying.

But Uddhav Thacker…",2020-08-09 12:00:38,,,,
2020-08-09  18:02,1292430406289993729,RT @sidharth_shukla: Not a lot out there... not much to do .. just hoping all’s fine with you ... take care of yourself n family too ....an…,2020-08-09 11:59:55,,,,Mumbai
2020-08-09  18:02,1292430253973889024,"RT @Kangana_Ra: Maharashtra has highest number of Corona cases, Mumbai is flooded due to heavy rain &amp; people are dying.

But Uddhav Thacker…",2020-08-09 11:59:19,,,,
2020-08-09  18:02,1292430210797727744,"RT @Kangana_Ra: Maharashtra has highest number of Corona cases, Mumbai is flooded due to heavy rain &amp; people are dying.

But Uddhav Thacker…",2020-08-09 11:59:09,,,,
2020-08-09  18:02,1292430195442348038,RT @RamShindespeaks: The concept of a self-reliant India without securing the old age sticks of Corona Warriors is meaningless! OPS has to…,2020-08-09 11:59:05,,,,
2020-08-09  18:02,1292430072922734594,"RT @Kangana_Ra: Maharashtra has highest number of Corona cases, Mumbai is flooded due to heavy rain &amp; people are dying.

But Uddhav Thacker…",2020-08-09 11:58:36,,,,
2020-08-09  18:02,1292429942790082561,RT @RamShindespeaks: The concept of a self-reliant India without securing the old age sticks of Corona Warriors is meaningless! OPS has to…,2020-08-09 11:58:05,,,,
2020-08-09  18:02,1292429939329777665,RT @RamShindespeaks: The concept of a self-reliant India without securing the old age sticks of Corona Warriors is meaningless! OPS has to…,2020-08-09 11:58:04,,,,J͜͡h͜͡u͜͡n͜͡j͜͡h͜͡u͜͡n͜͡u͜͡
2020-08-09  18:02,1292429871210090498,RT @RamShindespeaks: The concept of a self-reliant India without securing the old age sticks of Corona Warriors is meaningless! OPS has to…,2020-08-09 11:57:48,,,,
2020-08-09  18:02,1292429255813472256,"RT @Kangana_Ra: Maharashtra has highest number of Corona cases, Mumbai is flooded due to heavy rain &amp; people are dying.

But Uddhav Thacker…",2020-08-09 11:55:21,,,,Mumbai
2020-08-09  18:02,1292429173831557120,"@HuXijin_GT Corona virus is because of China and cpc 
So source should be destroyed first",2020-08-09 11:55:01,,Mumbai,,
2020-08-09  18:02,1292429080441188352,@AUThackeray Mumbain is save now. My request hospital and Doctors should not target other illness or disease patien… https://t.co/sLgysaYLd4,2020-08-09 11:54:39,,,,"Mumbai, India"
2020-08-09  18:02,1292429053861826561,@aajtak After 4 months now he and his government are wake-up on corona after party...ok not issue..😂😂😂👌👌,2020-08-09 11:54:33,,,,"Mumbai, India"
2020-08-09  18:02,1292428989638746112,RT @RamShindespeaks: The concept of a self-reliant India without securing the old age sticks of Corona Warriors is meaningless! OPS has to…,2020-08-09 11:54:17,,,,
2020-08-09  18:02,1292428896382496768,RT @RamShindespeaks: The concept of a self-reliant India without securing the old age sticks of Corona Warriors is meaningless! OPS has to…,2020-08-09 11:53:55,,,,
2020-08-09  18:02,1292428861645320194,"RT @Kangana_Ra: Maharashtra has highest number of Corona cases, Mumbai is flooded due to heavy rain &amp; people are dying.

But Uddhav Thacker…",2020-08-09 11:53:47,,,,"Gurgaon, India"
2020-08-09  18:02,1292428853021794304,"RT @Kangana_Ra: Maharashtra has highest number of Corona cases, Mumbai is flooded due to heavy rain &amp; people are dying.

But Uddhav Thacker…",2020-08-09 11:53:45,,,,"Hyderabad, India"
2020-08-09  18:02,1292428853005004800,"RT @ayushmangal28: #RozgarDo

Demonetization &amp; GST were historic decisions. But the way of implementation did more harm than benefit. 

Bot…",2020-08-09 11:53:45,,,,"Pune, India"
