2020-08-09  18:32,1291324203371823106,Ayeni_Tinuke,Dear @StanChartIN @StanChartHelpIN @StanChart I only need you to help me release my money to available balance whic… https://t.co/uEqvgBtr7Q,2020-08-06 10:44:16,,,,"lagos, Mainland 🏡"
2020-08-09  18:32,1291318768610598913,jasmeenGdugal,Dear @StanChartIN @StanChartHelpIN @StanChart I have been tweeting since 3 weeks that I need my dormant bank accoun… https://t.co/ja45mPzH6z,2020-08-06 10:22:40,,New Delhi,,INDIA
2020-08-09  18:32,1291297172252590085,sainial,"RT @StanChartIN: Through our #FutureMakers initiative, we are enhancing lives &amp; livelihoods of affected individuals by providing them with…",2020-08-06 08:56:51,,,,Chennai
2020-08-09  18:32,1291294693968326657,AnubhavGhosh9,It seems that @StanChart @StanChartIN recruits employees with poor arithmetic skills. They promise  credit limit 3… https://t.co/xuCIxx724K,2020-08-06 08:47:00,,,,"Banglore, India"
2020-08-09  18:32,1291277723575492608,Fabriciosx,"RT @Digiteratian: We are happy in conducting training programs on ""Database Specialization"" for the employees of Standard Chartered Global…",2020-08-06 07:39:34,,,,Rio de janeiro
2020-08-09  18:32,1291277620928114694,Digiteratian,"We are happy in conducting training programs on ""Database Specialization"" for the employees of Standard Chartered G… https://t.co/JtFQwC17hi",2020-08-06 07:39:10,,,,Chennai
2020-08-09  18:32,1291274836564746240,ShubeshR,"RT @StanChartIN: Through our #FutureMakers initiative, we are enhancing lives &amp; livelihoods of affected individuals by providing them with…",2020-08-06 07:28:06,,,,"Mumbai, India"
2020-08-09  18:32,1291270976651419648,ssquare_z,"RT @StanChartIN: Through our #FutureMakers initiative, we are enhancing lives &amp; livelihoods of affected individuals by providing them with…",2020-08-06 07:12:46,,,,"New Delhi, India"
2020-08-09  18:32,1291264088501256192,StanChartIN,"Through our #FutureMakers initiative, we are enhancing lives &amp; livelihoods of affected individuals by providing the… https://t.co/U8p0NoGLjv",2020-08-06 06:45:23,,,,India
2020-08-09  18:32,1291258070421536774,PKKUiTM,"Standard Chartered-Graduate Programme
https://t.co/pLFsCZakIM
#kitaUiTM #uitmdihatiku #wecarewehelp #pkkuitm… https://t.co/mZlvPrdyro",2020-08-06 06:21:29,,,,"Selangor, Malaysia"
2020-08-09  18:32,1291239869876973568,Market_Screener,Standard Chartered : Monthly Return of Equity Issuer on Movements in Securities for the Mo... #StandardChartered… https://t.co/8vccD4FZmt,2020-08-06 05:09:09,,,,
2020-08-09  18:32,1291188875109359616,FowlerFox,"Standard Chartered to Add 1,600 Staff at New Bank Center in China https://t.co/m50wbSRbCs via @BloombergQuint… https://t.co/IziRxwWbVG",2020-08-06 01:46:31,,,,HQ Hong Kong
2020-08-09  18:32,1291043170965495808,Ace_Football_1,"Liverpool 2019/20 Champions Shirt
#PremierLeague #Football #NewBalance #NB #StandardChartered #Anfield #Klopp… https://t.co/4JbY2XfkOU",2020-08-05 16:07:33,,,,"England, United Kingdom"
